Fly,Date,Window,RollingMean,LongRunMean,LongRunStd,ShiftSigma,Direction
Fly6,2024-03-26,60,-0.04583333333333215,-0.016083860759493657,0.015422345499207055,-1.9289849637571712,cheap/compressed
Fly6,2024-03-27,60,-0.045708333333332025,-0.016083860759493657,0.015422345499207055,-1.920879841225287,cheap/compressed
Fly6,2024-03-28,60,-0.045499999999998646,-0.016083860759493657,0.015422345499207055,-1.9073713036721573,cheap/compressed
Fly6,2024-04-02,60,-0.04537499999999852,-0.016083860759493657,0.015422345499207055,-1.8992661811402731,cheap/compressed
Fly6,2024-04-03,60,-0.04541666666666515,-0.016083860759493657,0.015422345499207055,-1.901967888650896,cheap/compressed
Fly6,2024-04-04,60,-0.04545833333333202,-0.016083860759493657,0.015422345499207055,-1.9046695961615345,cheap/compressed
Fly6,2024-04-05,60,-0.04545833333333202,-0.016083860759493657,0.015422345499207055,-1.9046695961615345,cheap/compressed
Fly6,2024-04-08,60,-0.04541666666666563,-0.016083860759493657,0.015422345499207055,-1.901967888650927,cheap/compressed
Fly6,2024-04-09,60,-0.04520833333333248,-0.016083860759493657,0.015422345499207055,-1.8884593510978127,cheap/compressed
Fly6,2024-04-10,60,-0.04499999999999934,-0.016083860759493657,0.015422345499207055,-1.8749508135446982,cheap/compressed
Fly6,2024-04-11,60,-0.04483333333333282,-0.016083860759493657,0.015422345499207055,-1.8641439835022067,cheap/compressed
Fly6,2024-04-12,60,-0.04462499999999921,-0.016083860759493657,0.015422345499207055,-1.8506354459490615,cheap/compressed
Fly6,2024-04-15,60,-0.044499999999999554,-0.016083860759493657,0.015422345499207055,-1.842530323417208,cheap/compressed
Fly6,2024-04-16,60,-0.04429166666666641,-0.016083860759493657,0.015422345499207055,-1.8290217858640936,cheap/compressed
Fly6,2024-04-17,60,-0.04395833333333314,-0.016083860759493657,0.015422345499207055,-1.807408125779095,cheap/compressed
Fly6,2024-04-18,60,-0.04362499999999964,-0.016083860759493657,0.015422345499207055,-1.7857944656940816,cheap/compressed
Fly6,2024-04-19,60,-0.0434166666666665,-0.016083860759493657,0.015422345499207055,-1.772285928140967,cheap/compressed
Fly6,2024-04-22,60,-0.043166666666666485,-0.016083860759493657,0.015422345499207055,-1.7560756830772142,cheap/compressed
Fly6,2024-04-23,60,-0.04279166666666635,-0.016083860759493657,0.015422345499207055,-1.7317603154815775,cheap/compressed
Fly6,2024-04-24,60,-0.042458333333333084,-0.016083860759493657,0.015422345499207055,-1.710146655396579,cheap/compressed
Fly6,2024-04-25,60,-0.04216666666666645,-0.016083860759493657,0.015422345499207055,-1.6912347028222037,cheap/compressed
Fly6,2024-04-26,60,-0.04183333333333318,-0.016083860759493657,0.015422345499207055,-1.6696210427372051,cheap/compressed
Fly6,2024-04-29,60,-0.04145833333333305,-0.016083860759493657,0.015422345499207055,-1.6453056751415684,cheap/compressed
Fly6,2024-04-30,60,-0.04104166666666629,-0.016083860759493657,0.015422345499207055,-1.618288600035309,cheap/compressed
Fly6,2024-05-02,60,-0.040749999999999884,-0.016083860759493657,0.015422345499207055,-1.5993766474609483,cheap/compressed
Fly6,2024-05-03,60,-0.04054166666666674,-0.016083860759493657,0.015422345499207055,-1.585868109907834,cheap/compressed
Fly6,2024-05-06,60,-0.04033333333333336,-0.016083860759493657,0.015422345499207055,-1.5723595723547044,cheap/compressed
Fly6,2024-05-07,60,-0.040083333333333825,-0.016083860759493657,0.015422345499207055,-1.5561493272909823,cheap/compressed
Fly6,2024-05-08,60,-0.03983333333333405,-0.016083860759493657,0.015422345499207055,-1.5399390822272452,cheap/compressed
Fly6,2024-05-09,60,-0.03962500000000091,-0.016083860759493657,0.015422345499207055,-1.5264305446741306,cheap/compressed
Fly6,2024-05-10,60,-0.03941666666666753,-0.016083860759493657,0.015422345499207055,-1.512922007121001,cheap/compressed
Fly6,2024-05-13,60,-0.03916666666666752,-0.016083860759493657,0.015422345499207055,-1.4967117620572483,cheap/compressed
Fly6,2024-05-14,60,-0.039000000000001006,-0.016083860759493657,0.015422345499207055,-1.4859049320147568,cheap/compressed
Fly6,2024-05-15,60,-0.0387916666666681,-0.016083860759493657,0.015422345499207055,-1.4723963944616576,cheap/compressed
Fly6,2024-05-16,60,-0.03854166666666833,-0.016083860759493657,0.015422345499207055,-1.4561861493979205,cheap/compressed
Fly6,2024-05-17,60,-0.038250000000001685,-0.016083860759493657,0.015422345499207055,-1.4372741968235447,cheap/compressed
Fly6,2024-05-20,60,-0.038000000000001914,-0.016083860759493657,0.015422345499207055,-1.4210639517598074,cheap/compressed
Fly6,2024-05-21,60,-0.03787500000000179,-0.016083860759493657,0.015422345499207055,-1.4129588292279234,cheap/compressed
Fly6,2024-05-22,60,-0.03766666666666794,-0.016083860759493657,0.015422345499207055,-1.3994502916747629,cheap/compressed
Fly6,2024-05-23,60,-0.037416666666668166,-0.016083860759493657,0.015422345499207055,-1.3832400466110257,cheap/compressed
Fly6,2024-05-24,60,-0.037166666666667916,-0.016083860759493657,0.015422345499207055,-1.3670298015472575,cheap/compressed
Fly6,2024-05-27,60,-0.03695833333333477,-0.016083860759493657,0.015422345499207055,-1.353521263994143,cheap/compressed
Fly6,2024-05-28,60,-0.036666666666667895,-0.016083860759493657,0.015422345499207055,-1.334609311419752,cheap/compressed
Fly6,2024-05-29,60,-0.03650000000000091,-0.016083860759493657,0.015422345499207055,-1.3238024813772298,cheap/compressed
Fly6,2024-05-30,60,-0.03612500000000101,-0.016083860759493657,0.015422345499207055,-1.2994871137816084,cheap/compressed
Fly6,2024-05-31,60,-0.035833333333334376,-0.016083860759493657,0.015422345499207055,-1.280575161207233,cheap/compressed
Fly6,2024-06-03,60,-0.03550000000000134,-0.016083860759493657,0.015422345499207055,-1.2589615011222497,cheap/compressed
Fly6,2024-06-04,60,-0.03508333333333482,-0.016083860759493657,0.015422345499207055,-1.2319444260160055,cheap/compressed
