Fly,Window,Start,End,TradingDays,AverageRollingMean,ShiftSigma,Direction
Fly6,60,2024-03-26,2024-06-24,62,-0.03930846774193582,-1.505906282778859,cheap/compressed
Fly7,60,2024-03-26,2024-05-16,35,-0.03222976190476263,-1.3957054433459535,cheap/compressed
Fly7,60,2025-01-23,2025-01-30,6,0.0034166666666650986,1.0079241135772015,rich/wide
Fly7,60,2026-05-07,2026-06-11,26,-0.03286858974358944,-1.438781441046891,cheap/compressed
Fly8,60,2024-03-26,2024-05-02,25,-0.016479999999998277,-1.2534512095793962,cheap/compressed
Fly8,60,2026-05-19,2026-06-11,18,-0.016136574074074685,-1.2111330997620389,cheap/compressed
Fly9,60,2025-05-19,2025-06-05,14,0.005232142857144985,1.0279727887735368,rich/wide
Fly9,60,2026-05-14,2026-06-11,21,-0.008015873015872628,-1.2131727529254535,cheap/compressed
Fly10,60,2026-05-13,2026-06-11,22,-0.003615530303029361,-1.2068334081248806,cheap/compressed
