Fly,Fly1,Fly2,Fly3,Fly4,Fly5,Fly6,Fly7,Fly8,Fly9,Fly10
Fly1,1.0,0.01247043692112625,-0.2775541930461254,-0.10518872217681405,-0.22567797718584837,-0.22707429290226716,-0.12235052273954365,-0.11026588972016066,-0.008971939267787717,-0.041719606901196596
Fly2,0.01247043692112625,1.0,-0.07383769172976107,-0.32132605438481243,-0.1820257697764789,-0.2550225158862542,-0.0727939071328791,-0.03765358034901327,-0.002774103379469025,-0.034278481548606125
Fly3,-0.2775541930461254,-0.07383769172976107,1.0,0.4404054046900649,0.4235186961539452,0.3222886865714208,0.12405612319301348,-0.12856925189463533,-0.029381605226830053,-0.11275344723767806
Fly4,-0.10518872217681405,-0.32132605438481243,0.4404054046900649,1.0,0.41854396318023773,0.3211145768833369,-0.014045054435367932,-0.1038389495759724,-0.05748055496303478,0.014882929307047356
Fly5,-0.22567797718584837,-0.1820257697764789,0.4235186961539452,0.41854396318023773,1.0,0.2433248962996771,0.15595184020187286,-0.08911004201452462,-9.86348823289269e-05,-0.03977107111624921
Fly6,-0.22707429290226716,-0.2550225158862542,0.3222886865714208,0.3211145768833369,0.2433248962996771,1.0,0.027297948129410478,0.00850114833358676,0.135855877473891,0.018145542888747784
Fly7,-0.12235052273954365,-0.0727939071328791,0.12405612319301348,-0.014045054435367932,0.15595184020187286,0.027297948129410478,1.0,-0.17946095290068909,0.0030303828889552504,0.0281234750197962
Fly8,-0.11026588972016066,-0.03765358034901327,-0.12856925189463533,-0.1038389495759724,-0.08911004201452462,0.00850114833358676,-0.17946095290068909,1.0,-0.29484517218136225,0.12988657603631318
Fly9,-0.008971939267787717,-0.002774103379469025,-0.029381605226830053,-0.05748055496303478,-9.86348823289269e-05,0.135855877473891,0.0030303828889552504,-0.29484517218136225,1.0,-0.38743343053200774
Fly10,-0.041719606901196596,-0.034278481548606125,-0.11275344723767806,0.014882929307047356,-0.03977107111624921,0.018145542888747784,0.0281234750197962,0.12988657603631318,-0.38743343053200774,1.0
