Fly,Residual Variance,Target Variance,Residual Var %,Variance Reduction %,R2
Fly6,1.7098880044544336e-05,1.7416929989144156e-05,0.981739035249148,0.018260964750852038,0.01826096475085215
Fly7,1.0133290216712984e-05,1.0713933050255408e-05,0.9458048850203911,0.05419511497960894,0.05419511497960883
Fly8,8.03290083308899e-06,9.068755378122556e-06,0.8857776506429472,0.11422234935705278,0.11422234935705278
Fly9,1.219454379362449e-05,1.5354594859563963e-05,0.7941950865625632,0.2058049134374368,0.20580491343743668
Fly10,8.536868196061961e-06,1.0112464557262407e-05,0.8441926444064608,0.1558073555935392,0.1558073555935392
