Fly,Strategy,Entry Date,Exit Date,Direction,Entry,Exit,PnL_ticks,PnL_EUR,Holding_days
Fly6,zscore,2024-03-26,2024-06-12,SHORT,-0.037499999999994316,-0.03499999999998238,-0.5000000000023874,-6.250000000029843,78
Fly6,zscore,2024-06-19,2024-07-11,SHORT,-0.025000000000005684,-0.03249999999999886,1.4999999999986358,18.749999999982947,22
Fly6,zscore,2024-08-05,2024-08-30,SHORT,-0.015000000000000568,-0.04750000000001364,6.500000000002615,81.25000000003268,25
Fly6,zscore,2024-09-02,2024-09-18,LONG,-0.044999999999987494,-0.015000000000000568,5.999999999997385,74.99999999996732,16
Fly6,zscore,2024-12-18,2025-02-03,SHORT,0.0,-0.010000000000005116,2.000000000001023,25.00000000001279,47
Fly6,zscore,2025-02-27,2025-03-06,LONG,-0.017499999999998295,-0.005000000000009663,2.4999999999977263,31.24999999997158,7
Fly6,zscore,2025-03-14,2025-03-19,LONG,-0.01999999999999602,-0.0024999999999835154,3.500000000002501,43.750000000031264,5
Fly6,zscore,2025-04-03,2025-04-25,LONG,-0.020000000000010232,-0.007499999999993179,2.5000000000034106,31.250000000042633,22
Fly6,zscore,2025-05-12,2025-05-21,SHORT,-0.002500000000011937,-0.012499999999988631,1.9999999999953388,24.999999999941735,9
Fly6,zscore,2025-06-03,2025-06-09,LONG,-0.01999999999999602,-0.010000000000005116,1.999999999998181,24.999999999977263,6
Fly6,zscore,2025-06-16,2025-06-18,LONG,-0.020000000000010232,-0.012500000000002842,1.500000000001478,18.750000000018474,2
Fly6,zscore,2025-07-07,2025-07-18,SHORT,-0.0049999999999954525,-0.012499999999988631,1.4999999999986358,18.749999999982947,11
Fly6,zscore,2025-07-25,2025-08-18,SHORT,-0.005000000000009663,-0.012500000000017053,1.500000000001478,18.750000000018474,24
Fly6,zscore,2025-08-27,2025-09-12,LONG,-0.017499999999998295,-0.009999999999990905,1.500000000001478,18.750000000018474,16
Fly6,zscore,2025-09-17,2025-10-15,SHORT,1.4210854715202004e-14,-0.010000000000005116,2.0000000000038654,25.000000000048317,28
Fly6,zscore,2025-12-05,2026-01-20,SHORT,1.4210854715202004e-14,-0.004999999999981242,0.9999999999990905,12.499999999988631,46
Fly6,zscore,2026-02-11,2026-03-03,LONG,-0.010000000000005116,0.0,2.000000000001023,25.00000000001279,20
Fly6,zscore,2026-03-06,2026-03-18,SHORT,0.01500000000001478,-0.0049999999999954525,4.000000000002046,50.00000000002558,12
Fly6,zscore,2026-03-19,2026-03-30,LONG,-0.014999999999986358,-0.0024999999999835154,2.5000000000005684,31.250000000007105,11
